Obra,Relación,Editorial
La literatura de la independencia hispanoamericano (neoclasicismo y prerromanticismo),fue_publicado_por,EditorialUniversitaria de Buenos Aires
"Gobernantes de Nueva Galicia y de Jalisco, 1531-1980",fue_publicado_por,[s.n.]
Martí en Guatemala,fue_publicado_por,Ministerio de Educación Pública
La loca,fue_publicado_por,Dirección de Investigación y Fomento de Cultura Regional
Don José Joaquín Ortiz,fue_publicado_por,Impr. Barcelona
En cuerpo de camisa,fue_publicado_por,Editorial Antillana
Un instante en el paraíso,fue_publicado_por,Laberinto Ediciones
La poesía francesa del romanticismo al superrealismo ..,fue_publicado_por,"Editorial Losada, s.a."
Luz y sombra,fue_publicado_por,Gobierno del Estado de Campeche
Disidencias y coincidencias en Cuba,fue_publicado_por,Editorial José Martí
La mona que le pisaron la cola,fue_publicado_por,Ediciones Huracán
Ave de sacrificio,fue_publicado_por,Letras de México
Canasta de cuentos mexicanos,fue_publicado_por,Selector
Con la espada y con la pluma,fue_publicado_por,Editorial Letras Cubanas
Miel sobre hojuelas,fue_publicado_por,Ediciones R[evolución]
Los Tuits de Las Diosas 2,fue_publicado_por,CreateSpace Independent Publishing Platform
Tres amores,fue_publicado_por,Alexander Street Press
Der Schatz der Sierra Madre,fue_publicado_por,Modern Library
"El Quito que se fue, 1850-1912",fue_publicado_por,Academia Nacional de Historia
Polvo,fue_publicado_por,Editorial Stylo
Viento a favor,fue_publicado_por,Ediciones Cal y Arena
Tarija,fue_publicado_por,Embajada Real de los Países Bajos
José María Heredia,fue_publicado_por,Universidad Autónoma del Estado de México
Lucian Freud,fue_publicado_por,Museo Nacional Centro de Arte Reina Sofia
El libro en hispanoamérica,fue_publicado_por,Fundación Germán Sánchez Ruipérez
Donde llegan los pasos,fue_publicado_por,"Ministerio de Cultura, Dirección General de Bellas Artes"
Los funerales de la Mamá Grande,fue_publicado_por,Brugera-Libro Amigo
Obras inéditas de Gutiérrez Nájera,fue_publicado_por,Hispanic Institute in the United States
La Silla Del Aguila,fue_publicado_por,Punto De Lectura
La muerte de Artemio Cruz,fue_publicado_por,Deutsche Verlags-Anstalt
Sus mejores poemas,fue_publicado_por,Ministerio de Educacion
Así en la paz como en la guerra,fue_publicado_por,Gallimard
Cuentos del general,fue_publicado_por,Porrúa
Obra escogida,fue_publicado_por,Roxsil / El Salvador
Borracho no vale,fue_publicado_por,Plaza y Valdés
Poems,fue_publicado_por,Ediciones Cátedra
Bu mu'yuk jloktor,fue_publicado_por,Editorial Pax México
Todos somos iguales frente a las tentaciones,fue_publicado_por,Fundación para las Letras Mexicanas
"Salón Nacional de Artes Plásticas, Sección Bienal de Gráfica, 1983",fue_publicado_por,Instituto Nacional de Bellas Artes
Animal de amor,fue_publicado_por,"Universidad Nacional Autónoma de México, Dirección General de Publicaciones"
Literatura hispanoamericana,fue_publicado_por,Noriega
El tema de nuestro tiempo,fue_publicado_por,"Espasa-Calpe argentina, s.a."
El Valor De Elegir,fue_publicado_por,Editorial Ariel
Como el primer día,fue_publicado_por,Instituto Cubano del Libro
La verdadera culpa de Juan Clemente Zenea,fue_publicado_por,Unión de Escritores y Artistas de Cuba
El poder y el delirio,fue_publicado_por,Tusquets Editores
Lecciones de Derecho Constitucional,fue_publicado_por,Fondo Editorial UNMSM
Desde el infierno y otros cuentos,fue_publicado_por,J. Mortiz
Gobernantes de Nuevo León,fue_publicado_por,Comisión Editorial de la Sexagésima Quinta Legislatura del Estado de Nuevo León
El trato con escritores,fue_publicado_por,"Instituto Nacional de Bellas Artes, Departamento de Literatura"
El sueño del yaguar,fue_publicado_por,Editorial Letras Cubanas
Don Ramón de la Cruz y sus obras,fue_publicado_por,J. Perales y Martínez
Diccionario de la literatura centroamericana,fue_publicado_por,EUNA
La Nube Y El Reloj / The Cloud And The Clock : Pintura Mexicana Contemporanea / Mexican Contemporary Paintings,fue_publicado_por,Landuci
Cuentos Mexicanos - De Los Origenes a la Revolucion,fue_publicado_por,"Stockcero, Inc"
Miradas subversivas,fue_publicado_por,"Consejo Nacional para la Cultura y las Artes, Dirección General de Publicaciones"
Grafías contra el planisferio paginado,fue_publicado_por,"Universidad Nacional Autónoma de México, Coordinación de Difusión Cultural, Dirección de Literatura"
Der Schatz der Sierra Madre,fue_publicado_por,Edicions de 1984
Los 7 bocados capitales,fue_publicado_por,Academia Nicaragüense de la Lengua
De Max Aub a Cervantes,fue_publicado_por,Universidad de Alcalá
Hombres De Maiz / Men of Maize (Biblioteca De Autor / Author Library),fue_publicado_por,Editorial Universitaria Centroamericana
Poesía,fue_publicado_por,"[Ecuador O O̊' O"""
Poética interior,fue_publicado_por,P.U.C.M.M.
Educación Sexual en Familia,fue_publicado_por,Independently Published
El sueño no es un refugio sino un arma,fue_publicado_por,"Universidad Nacional Autónoma de México, Coordinación de Difusión Cultural, Dirección de Literatura"
"Antología, 1925-1965",fue_publicado_por,Editorial Porrúa
Octavio Paz y su mundo de palabras,fue_publicado_por,Ediciones Ventana
Mujeres en la vida de Hostos,fue_publicado_por,Asociacion de Mujeres Graduadas de la Universidad de Puerto Rico
Coloquios 2010,fue_publicado_por,Dirección General de la Feria del Libro
y México se refugió en el desierto,fue_publicado_por,Editorial Jus
Fantasma de una lejana fantasía,fue_publicado_por,Fundación Cultural Dominicana
Cultura de paz y publicidad institucional,fue_publicado_por,Alcalá Grupo Editorial
Los empeños de una casa,fue_publicado_por,PPU
Testamento en la montaña,fue_publicado_por,Editorial Planeta
Poemas de Jose Jacinto Milanes,fue_publicado_por,Linkgua US
La vorágine,fue_publicado_por,Corregidor
El Púas,fue_publicado_por,Editorial Agata
"El cuento hispanoamericano en el siglo XX, I (Clásicos Castalia)",fue_publicado_por,Castalia
Genio y figura de Victoria Ocampo,fue_publicado_por,Editorial Universitaria de Buenos Aires
Divertimentos,fue_publicado_por,Instituto Cubano del Libro
Crónica de novela,fue_publicado_por,Grupo Editorial 7
Primero sueño,fue_publicado_por,Impr. de la Universidad
El espectador,fue_publicado_por,Deutsche Verlags-Anstalt
Poesía completa,fue_publicado_por,Editorial JUS
"Diccionario naval, Inglés-español, español-inglés",fue_publicado_por,"Editorial Naval, Ministerio de Marina"
Estrellas y caramelos,fue_publicado_por,Ediciones Partenon
Crónicas del café de los fantasmas,fue_publicado_por,Universidad de San Carlos de Guatemala
Don del viento,fue_publicado_por,Editorial Club Primera Plana
Andamios interiores,fue_publicado_por,Cvltvra
"Efemérides Cervantinas, Ó Sea Resumen Cronológico de la Vida de Miguel de Cervantes Saavedra",fue_publicado_por,"Creative Media Partners, LLC"
Los raros,fue_publicado_por,Editorial Calomino
La edad de oro,fue_publicado_por,Gente Nueva
Geschichten vom lieben Gott,fue_publicado_por,W. W. Norton
Movimientos sociales y Asamblea Constituyente,fue_publicado_por,Semanario Pulso
"Filadelfia, paraíso de conspiradores, y otras historias noveladas",fue_publicado_por,Compañía General de Ediciones
Desarrollo sostenible de la zona costera del caribe colombiano,fue_publicado_por,Colciencias
Las mujeres,fue_publicado_por,Siglo Vientiuno Editores
Devórame otra vez,fue_publicado_por,Ediciones Callejón
Los de abajo,fue_publicado_por,Crofts
Vidas de cultura y pasión mexicanas,fue_publicado_por,Colegio de San Luis
"Historiografía zacatecana, balance y estudio",fue_publicado_por,"LVII Legislatura, Zacatecas"
Weise von Liebe und Tod des Cornets Christoph Rilke,fue_publicado_por,Zarvanos
YERMA; TRANS. BY GWYNNE EDWARDS,fue_publicado_por,Independently Published
Misión del bibliotecario,fue_publicado_por,Libr. Émile Nourry
"Llano en Llamas, Pedro Páramo y Otras Obras : (En el Centenario de Su Autor)",fue_publicado_por,Iberoamericana Editorial Vervuert
Comedias impolíticas,fue_publicado_por,"Ciudad de México, DDF, Secretaría General de Desarrollo Social"
Un libro levemente odioso,fue_publicado_por,La Letra Editores
No pertenezco a este siglo,fue_publicado_por,Editora Sibauste
El Cuento en Santo Domingo,fue_publicado_por,Libreria Dominicana
Temas martianos,fue_publicado_por,Centro de Estudios Martianos
Latinoamérica y el mundo,fue_publicado_por,Universidad Central de Venezuela
Tal cual,fue_publicado_por,Diputación Provincial de Málaga
Temas canaleros en la poesía de Demetrio Korsi,fue_publicado_por,"Universidad de Panamá, IDEN"
Obras completas,fue_publicado_por,"Universidad Nacional Autónoma de México, Coordinación de Humanidades"
Azul ..,fue_publicado_por,Espasa-Calpe
Viage del comandante Byron al rededor del mundo ...,fue_publicado_por,Imp. real de la Gazeta
"Heroismo e identidad Duarte, libertador, romántico y poeta",fue_publicado_por,Instituto Duartiano
El Comandante,fue_publicado_por,Editorial Nueva Nicaragua
Crímenes ejemplares,fue_publicado_por,Editorial Lumen]
Paleta de diez colores,fue_publicado_por,Dirección General de Publicaciones del Consejo Nacional para la Cultura y las Artes
"Libro de Oraciones y Poemas a la Virgen de Guadalupe, Madre de Nuestros Difuntos, EdiciÓn de Bolsillo",fue_publicado_por,Independently Published
Las genealogías,fue_publicado_por,Alfaguara
El gran circo del mundo =,fue_publicado_por,Cuadernos americanos
Reportaje,fue_publicado_por,Editorial Lex
"Planes de manejo para la conservación de abarco, caoba, cedro, palorosa y canelo de los andaquíes",fue_publicado_por,MinAmbiente
Obras de Manuel Gutiérrez Nájera,fue_publicado_por,"Creative Media Partners, LLC"
La Reinas De Polanco,fue_publicado_por,Oceano De Mexico
La guaracha del Macho Camacho / Macho Camacho's Beat,fue_publicado_por,Catedra
La justicia de enero,fue_publicado_por,Universidad Veracruzana
Escritos dominicanos,fue_publicado_por,Ediciones Cielonaranja
Caracas en varios tiempos,fue_publicado_por,Ediciones Grupo TEI
El hombre que fué dos,fue_publicado_por,Editorial Castalia
DESAPARAREZIUS en a BAL d´OS CAYIUS - Comunidá D´Aragón,fue_publicado_por,Independently published
El caseron del cerro,fue_publicado_por,Universidad Central de Las Villas
Cantos de rebeldía,fue_publicado_por,Casa editorial Maucci
Der Schatz der Sierra Madre,fue_publicado_por,Pocket
Ocho cuentos y una meditación,fue_publicado_por,Instituto Salvadoreño de Cultura Hispánica
Sombras Nada Más / the Shadow Behind Somoza,fue_publicado_por,Penguin Random House Grupo Editorial
Conciencia intelectual de America,fue_publicado_por,Las Americas
Obra Literaria,fue_publicado_por,Fondo De Cultura Economica USA
El hombre y la gente,fue_publicado_por,"W. W. Norton & Company, Inc."
Juan Bosch,fue_publicado_por,Fundación Juan Bosch
Nada es para tanto,fue_publicado_por,Nueva Imagen
Sonetos a Orfeo,fue_publicado_por,Argenta
El Río San Juan,fue_publicado_por,Latino Editores
Historias del 36,fue_publicado_por,Ediciones 29
Recinto ; Otras imágenes,fue_publicado_por,Fondo de Cultura Económica
De los chamanes a los DJ's,fue_publicado_por,Plaza y Valdés
El fistol del diablo,fue_publicado_por,Editorial Porrúa
La biblioteca electrónica,fue_publicado_por,Fundacion G. Sanchez Ruipérez
"El "" problema de España"" y la cuestión militar",fue_publicado_por,Dykinson
los bandidos de rio frio,fue_publicado_por,editorial porrua
"!Buenos días, señor Presidente!",fue_publicado_por,J. Mortiz
Juárez y los Estados Unidos,fue_publicado_por,Editorial Jus
Testimonios sobre Diego Rivera,fue_publicado_por,Universidad Nacional Autónoma de México
Leyendas de Guatemala,fue_publicado_por,Cátedra
"México, imagen de una ciudad",fue_publicado_por,Fondo de Cultura Económica
Memorias improvisadas II,fue_publicado_por,"Universidad Autónoma de Nuevo León, Facultad de Filosofía y Letras"
El señor Mozart y un tren de brevedades,fue_publicado_por,"Secretaría de Cultura Puebla ; México, D.F."
Procesos y estructuras de una sociedad dependiente (Centroamérica),fue_publicado_por,Ediciones Prensa Latinoamericana
Cuentos de indios,fue_publicado_por,Ediciones Altiplano
"Diccionario crítico de la literatura mexicana, 1955-2005",fue_publicado_por,Fondo de Cultura Económica
Pablo Neruda en Cuba y Cuba en Pablo Neruda,fue_publicado_por,Ediciones Unión
Noticia de un secuestro,fue_publicado_por,Deutscher Taschenbuch Verlag
La manzana de oro,fue_publicado_por,Vervuert
Saudade =,fue_publicado_por,Visor
"Alfonso L. Herrera, padre de la ecología en México",fue_publicado_por,"Programa Desarrollo y Medio Ambiente, Colegio de México"
Consejos para la oración,fue_publicado_por,Obra Nacional de la Buena Prensa
La gran bonanza,fue_publicado_por,Miguel Ángel Porrúa
Historia de nuestra idea del mundo,fue_publicado_por,"El Colegio de México, Fondo de Cultura Económica"
"Relaciones y memorias de la provincia de Michoacán, 1579-1581",fue_publicado_por,Universidad Michoacana de San Nicolás de Hidalgo
Jesús Fernández Santos,fue_publicado_por,"Ministerio de Cultura, Dirección General de Promoción del Libro y la Cinematografía"
Letras II año bachillerato,fue_publicado_por,Canoa Editores
La lengua popular cubana,fue_publicado_por,Fundación Editorial Letras Latinas
Los caminos de Juárez,fue_publicado_por,Secretaría de Educación Pública
Confabulario definitivo,fue_publicado_por,Cátedra
¿Qué es conocimiento?,fue_publicado_por,Revista de Occidente en Alianza Editorial
Managua,fue_publicado_por,Impresiones y Troqueles
Aventuras de los Aztecas,fue_publicado_por,Editorial Planeta Mexicana
Camaradas ; Soledad,fue_publicado_por,"Dirección of Publicaciones, Consejo Nacional para la Cultura y las Artes"
Amistades comunes,fue_publicado_por,Baile del Sol
Conferencias,fue_publicado_por,Editorial Abril Uno
La independencia mexicana,fue_publicado_por,Fondo de Cultura Económica
El Gran Solitario De Palacio,fue_publicado_por,Patria Editorial
El arco y la lira,fue_publicado_por,Fondo de Cultura Económica
Recetario zapoteco del Istmo,fue_publicado_por,"CONACULTA, Dirección General de Culturas Populares e Indígenas"
50 años de poesía,fue_publicado_por,Editorial Oasis
Navidad en Las Montanas,fue_publicado_por,CreateSpace Independent Publishing Platform
Algo semejante a los monstruous antediluvianos,fue_publicado_por,Ediciones Saturno
Lomo de Cuento Por Colombia,fue_publicado_por,"Vista Higher Learning, Incorporated"
Cánones subversivos,fue_publicado_por,Pre-Textos
Las historias del origen de los indios de esta Provincia de Guatemala,fue_publicado_por,Imprenta de L. Sommer
Breve historia de mi tiempo urbano,fue_publicado_por,Ediciones Callejón
Mi nombre en juego,fue_publicado_por,"Instituto de Cultura de Yucatan, Gobierno del Estado de Yucatán"
El segundo libro de las mujeres,fue_publicado_por,"Editorial ""Mundo latino"""
Conjeturas en la penumbra,fue_publicado_por,Fundación María Escalón de Núnez
Los muertos,fue_publicado_por,Joaquín Mortiz
Monografía Matagalpa,fue_publicado_por,publisher not identified
La vida y sus dibujos,fue_publicado_por,Chromatos
Dos ensayos,fue_publicado_por,"Coordinación de Difusión Cultural, Dirección de Literatura, Universidad Nacional Autónoma de México"
El reclamo de las horas,fue_publicado_por,"Universidad Nacional Autónoma de Honduras, Editorial Universitaria"
50 prosas en El Mercurio 1921-1956,fue_publicado_por,Aguilar
Coyolxauhqui,fue_publicado_por,Instituto Nacional de Antropología e Historia
Del aire y la piedra,fue_publicado_por,Ediciones Libreria Internacional Romo
Revolución juliana y salud colectiva,fue_publicado_por,Universidad Andina Simón Bolívar
Jose  Trigo,fue_publicado_por,Siglo XXI
De intentos y accidentes,fue_publicado_por,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado
Enemigo rumor,fue_publicado_por,"Ucar, Garcia y cía."
